"category","event_id","name","parameter","address","type","source_scope"
"coding_plug|burner_flame_fan","496","GWG67: Temperatur zum Abbruch der Brennermindestpausenzeit","","GWG_Codierstecker_Pause_AbbruchT~0x1060","1","global Vitosoft event export"
"coding_plug","497","GWG74: Kesselsollleistung im SP-Betrieb","","GWG_Codierstecker_PSollSP~0x1070","1","global Vitosoft event export"
"coding_plug","498","Inbetriebnahmedatum Tag","","GWG_Codierstecker_Tag~0x1020","1","global Vitosoft event export"
"coding_plug","499","GWG34: Bauart Umschaltventil","","GWG_Codierstecker_UV~0x1030","1","global Vitosoft event export"
"coding_plug","500","GWG5C: Absolute Begrenzung max. Warmwasserleistung","","GWG_Codierstecker_WWmaxLeistung~0x1050","1","global Vitosoft event export"
"burner_flame_fan","600","Brenner ","","GWG_Flamme~0x55D3","1","global Vitosoft event export"
"burner_flame_fan","601","Flammensignal","","GWG_Flamme1~0x55DD","1","global Vitosoft event export"
"pump_logic","778","Heizkreispumpe A1M1 Drehzahl","","HKP_A1Drehzahl~0x7663","1","global Vitosoft event export"
"pump_logic","780","Heizkreispumpe Drehzahl","","HKP_M2Drehzahl~0x7665","1","global Vitosoft event export"
"pump_logic","787","Interne Pumpe Drehzahl","","InternePumpeDrehzahl~0x7660","1","global Vitosoft event export"
"burner_flame_fan","859","(21) Grenzwert Betriebsstunden Brenner","","K21_KonfiBetriebsstdBrenner_Wartung~0x5721","3","global Vitosoft event export"
"burner_flame_fan","862","(21) Betriebsstunden Brenner für Wartung","","K21_KonfiBetriebsstdBrennerWart100~0x5721","3","global Vitosoft event export"
"burner_flame_fan","873","(28) Intervallzuendung Brenner alle 5 Stunden","","K28_KonfiIntervallzuendung~0x5728","3","global Vitosoft event export"
"km_bus_remote","885","Interne Umwälzpumpe","","K30_KennungIntPumpeKM~0x5730","3","global Vitosoft event export"
"pump_logic","886","(31) Solldrehzahl Interne Pumpe","","K31_DrehzahlIntPumpe~0x5731","3","global Vitosoft event export"
"pump_logic","968","(6C) Drehzahl Interne Pumpe bei WW-Bereitung","","K6C_KonfiDrehzahlWW~0x676C","3","global Vitosoft event export"
"km_bus_remote","1053","Fernbedienung Heizkreis M2","","KA0_FernbedienungM2~0x37A0","3","global Vitosoft event export"
"km_bus_remote","1055","Fernbedienung Heizkreis A1M1","","KA0_KennungFernbedienungA1M1~0x27A0","3","global Vitosoft event export"
"km_bus_remote","1056","(A0) Kennung Fernbedienung A1M1","","KA0_KonfiKennungFernbedienungA1M1~0x27A0","3","global Vitosoft event export"
"km_bus_remote","1057","(A0) Kennung Fernbedienung M2","","KA0_KonfiKennungFernbedienungM2~0x37A0","3","global Vitosoft event export"
"pump_logic","1084","(A8) Einfluss auf Interne Pumpe","","KA8_KonfiWirkung_aufPumpe~0x37A8","3","global Vitosoft event export"
"km_bus_remote","2886","(E1) Bereich Tagsolltemperatur Fernbedienung A1M1","","KE1_KonfiOffsetRT_SolltemperaturA1M1~0x27E1","3","global Vitosoft event export"
"km_bus_remote","2887","(E1) Bereich Tagsolltemperatur Fernbedienung M2","","KE1_KonfiOffsetRT_SolltemperaturM2~0x37E1","3","global Vitosoft event export"
"km_bus_remote","2889","(E2) Raumgerät Istwertkorrektur A1M1","","KE2_KonfiRT_KorrekturFernbedienungA1M1~0x27E2","3","global Vitosoft event export"
"km_bus_remote","2890","(E2) Raumgerät Istwertkorrektur M2","","KE2_KonfiRT_KorrekturFernbedienungM2~0x37E2","3","global Vitosoft event export"
"km_bus_remote","2894","KM-BUS-Heizkreispumpe A1","","KE5_KonfiKennung_D_PumpeA1M1_KM~0x27E5","3","global Vitosoft event export"
"km_bus_remote","2897","KM-BUS-Heizkreispumpe M2","","KE5_KonfiKennung_D_PumpeM2KM~0x37E5","3","global Vitosoft event export"
"pump_logic","2903","(E6) Maximale Drehzahl geregelte Pumpe A1M1","","KE6_KonfiMaxDrehzahlA1M1_GWG~0x27E6","3","global Vitosoft event export"
"pump_logic","2904","(E6) Maximale Drehzahl geregelte Pumpe M2","","KE6_KonfiMaxDrehzahlM2_GWG~0x37E6","3","global Vitosoft event export"
"pump_logic","2908","(E7) Minimale Drehzahl geregelte Pumpe A1M1","","KE7_KonfiMinDrehzahlA1M1_GWG~0x27E7","3","global Vitosoft event export"
"pump_logic","2909","(E7) Minimale Drehzahl geregelte Pumpe M2","","KE7_KonfiMinDrehzahlM2_GWG~0x37E7","3","global Vitosoft event export"
"pump_logic","2913","(E8) Solldrehzahl Pumpe im Nebenbetrieb A1M1","","KE8_KonfiNebenbetriebA1M1_GWG~0x27E8","3","global Vitosoft event export"
"pump_logic","2914","(E8) Solldrehzahl Pumpe im Nebenbetrieb M2","","KE8_KonfiNebenbetriebM2_GWG~0x37E8","3","global Vitosoft event export"
"pump_logic","2918","(E9) Reduzierte Drehzahl geregelte Pumpe A1M1","","KE9_KonfiDrehzahlReduziertA1M1_GWG~0x27E9","3","global Vitosoft event export"
"pump_logic","2919","(E9) Reduzierte Drehzahl geregelte Pumpe M2","","KE9_KonfiDrehzahlReduziertM2_GWG~0x37E9","3","global Vitosoft event export"
"km_bus_remote","2988","KM-Bus-Fehler Ext. Erweiterung","","KM_Error_AE~0x0A32","1","global Vitosoft event export"
"km_bus_remote","2991","KM-Bus-Fehler Mischererweiterung","","KM_Error_Mischer~0x0A31","1","global Vitosoft event export"
"km_bus_remote","2994","KM-Bus-Fehler Pumpe A1","","KM_Error_PumpeA1~0x0A33","1","global Vitosoft event export"
"km_bus_remote|pump_logic","2995","KM-Bus-Fehler Interne Pumpe","","KM_Error_PumpeIntern~0x0A35","1","global Vitosoft event export"
"km_bus_remote","2996","KM-Bus-Fehler Pumpe M2","","KM_Error_PumpeM2~0x0A34","1","global Vitosoft event export"
"km_bus_remote","3001","KM-Bus-Fehler Vitocom 100","","KM_Error_Vitocom~0x0A36","1","global Vitosoft event export"
"km_bus_remote","3003","KM-Bus-Fehler Vitosolic","","KM_Error_Vitosolic~0x6550","1","global Vitosoft event export"
"coding_plug","3074","Codierkarte Gerätekennung","","KS_Karte_GWG_Kennung~0x7656","1","global Vitosoft event export"
"coding_plug","3075","Codierkarte Revision GFA","","KS_Karte_GWG_Rev_F~0x7656","1","global Vitosoft event export"
"coding_plug","3076","Codierkarte Revision GWG","","KS_Karte_GWG_Rev_R~0x7656","1","global Vitosoft event export"
"coding_plug","3077","Codierkarte Typ","","KS_Karte_GWG_Typ~0x7656","1","global Vitosoft event export"
"burner_flame_fan","3153","Betriebsstunden Brenner seit letzter  Wartung","","LetzteBrennerWartung~0x7570","1","global Vitosoft event export"
"burner_flame_fan","4165","Modulationsgrad","","nvoBoilerState_BLR_value~0xA305","1","global Vitosoft event export"
"burner_flame_fan","4199","nicht belegt","","nvoRelayState_Brenner~0xA152","1","global Vitosoft event export"
"pump_logic","4211","Relais-Status Interne Pumpe","","nvoRelayState_Interne_Pumpe~0xA152","1","global Vitosoft event export"
"coding_plug","4685","Sachnummer Codierstecker","","Sachnummer_GWG_Codierstecker~0x1010","1","global Vitosoft event export"
"km_bus_remote","5289","Externe Anschlußerweiterung Software-Index","","SWIndex_extAE~0x0A48","1","global Vitosoft event export"
"km_bus_remote","5290","Fernbedienung A1 Software-Index","","SWIndex_FB1~0x0A5C","1","global Vitosoft event export"
"km_bus_remote","5291","Fernbedienung M2 Software-Index","","SWIndex_FB2~0x0A60","1","global Vitosoft event export"
"km_bus_remote|pump_logic","5292","Interne Pumpe Software-Index","","SWIndex_IntPumpe~0x0A54","1","global Vitosoft event export"
"km_bus_remote","5293","Mischererweiterung Software-Index","","SWIndex_Mischer~0x0A44","1","global Vitosoft event export"
"km_bus_remote","5298","Pumpe A1 Software-Index","","SWIndex_Pumpe1~0x0A4C","1","global Vitosoft event export"
"km_bus_remote","5299","Pumpe M2 Software-Index","","SWIndex_Pumpe2~0x0A50","1","global Vitosoft event export"
"km_bus_remote","5303","Solarregelung Software-Index","","SWIndex_Solar~0x0A40","1","global Vitosoft event export"
"km_bus_remote","5305","Vitocom 100 Software-Index","","SWIndex_Vitocom~0x0A58","1","global Vitosoft event export"
"burner_flame_fan","8175","(P06) Drehzahl-Istwert","","VSKO_Scot_CES_P6~0x4006","1","global Vitosoft event export"
"burner_flame_fan","8179","(P10) PWM Sollwert Gebläse","","VSKO_Scot_CES_P10~0x400A","1","global Vitosoft event export"
"burner_flame_fan","8186","(P17) Flammenbildungszeit","","VSKO_Scot_CES_P17~0x4011","1","global Vitosoft event export"
"coding_plug","8214","(P90) Codierstecker FA-Typ {FA42}","","VSKO_Scot_CES_P90~0x405A","1","global Vitosoft event export"
"coding_plug","8216","(P101) Codierstecker Kennung Nr.1 VI","","VSKO_Scot_CES_P101~0x4065","1","global Vitosoft event export"
"coding_plug","8217","(P102) Codierstecker Kennung Nr.2 VI","","VSKO_Scot_CES_P102~0x4066","1","global Vitosoft event export"
"coding_plug","8218","(P103) Codierstecker Datum (Tag)","","VSKO_Scot_CES_P103~0x4067","1","global Vitosoft event export"
"coding_plug","8219","(P104) Codierstecker Datum (Monat)","","VSKO_Scot_CES_P104~0x4068","1","global Vitosoft event export"
"coding_plug","8220","(P105) Codierstecker Datum (Jahr)","","VSKO_Scot_CES_P105~0x4069","1","global Vitosoft event export"
"coding_plug","8221","(P106) CRC – Codierstecker – VI","","VSKO_Scot_CES_P106~0x406A","1","global Vitosoft event export"
"coding_plug","8222","(P107) Codierstecker Kennung {FA40}","","VSKO_Scot_CES_P107~0x406B","1","global Vitosoft event export"
"coding_plug","8223","(P108) Codierstecker Kennung {FA41}","","VSKO_Scot_CES_P108~0x406C","1","global Vitosoft event export"
"burner_flame_fan","8230","(P06) Drehzahl-Istwert","","VSKO_Scot_P6~0x4006","1","global Vitosoft event export"
"burner_flame_fan","8234","(P10) PWM Sollwert Gebläse","","VSKO_Scot_P10~0x400A","1","global Vitosoft event export"
"burner_flame_fan","8241","(P17) Flammenbildungszeit","","VSKO_Scot_P17~0x4011","1","global Vitosoft event export"
"burner_flame_fan","8259","(P09) Modulationssollwert","","VSKO_GFA_P9~0x4009","1","global Vitosoft event export"
"burner_flame_fan","11609","Brennertyp ","","GWG_8853_Brennertyp~0x8853","1","global Vitosoft event export"
